"","province","gender","age","edu","Number","Proportion"
"299","SK","Female","45 to 59","Graduated college",18,0.0163487738419619
"300","SK","Female","45 to 59","Graduated high school",31,0.0281562216167121
"301","SK","Female","60 plus","Didn't graduate college",86,0.07811080835604
"302","SK","Female","60 plus","Didn't graduate high school",59,0.0535876475930972
"303","SK","Female","60 plus","Graduated college",35,0.0317892824704814
"304","SK","Female","60 plus","Graduated high school",66,0.0599455040871935
"305","SK","Male","18 to 29","Didn't graduate college",20,0.0181653042688465
"306","SK","Male","18 to 29","Didn't graduate high school",8,0.0072661217075386
"307","SK","Male","18 to 29","Graduated college",10,0.00908265213442325
"308","SK","Male","18 to 29","Graduated high school",36,0.0326975476839237
"309","SK","Male","30 to 44","Didn't graduate college",55,0.0499545867393279
"310","SK","Male","30 to 44","Didn't graduate high school",5,0.00454132606721163
"311","SK","Male","30 to 44","Graduated college",42,0.0381471389645777
"312","SK","Male","30 to 44","Graduated high school",45,0.0408719346049046
"313","SK","Male","45 to 59","Didn't graduate college",39,0.0354223433242507
"314","SK","Male","45 to 59","Didn't graduate high school",14,0.0127157129881926
"315","SK","Male","45 to 59","Graduated college",20,0.0181653042688465
"316","SK","Male","45 to 59","Graduated high school",39,0.0354223433242507
"317","SK","Male","60 plus","Didn't graduate college",52,0.0472297910990009
"318","SK","Male","60 plus","Didn't graduate high school",47,0.0426884650317893
"319","SK","Male","60 plus","Graduated college",35,0.0317892824704814
"320","SK","Male","60 plus","Graduated high school",60,0.0544959128065395
